id,symbol,name,image,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,total_supply,max_supply,ath_date,atl_date,last_updated,day_update
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,63243.0,1249473065607,1,31754809518,286.17,21000000.0,21000000.0,2024-03-14T07:10:36.635Z,2013-07-06 00:00:00+00:00,2024-09-20 14:54:23.714000+00:00,Friday
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2552.47,307277867740,2,20385517936,126.82,120345932.992572,,2021-11-10T14:24:19.604Z,2015-10-20 00:00:00+00:00,2024-09-20 14:54:25.522000+00:00,Friday
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999683,119099866740,3,58914433236,0.00021958,119072842113.356,,2018-07-24T00:00:00.000Z,2015-03-02 00:00:00+00:00,2024-09-20 14:54:21.305000+00:00,Friday
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,569.59,83096267650,4,1050160440,5.75,145887575.79,200000000.0,2024-06-06T14:10:59.816Z,2017-10-19 00:00:00+00:00,2024-09-20 14:54:14.399000+00:00,Friday
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,148.17,69584252297,5,4334805260,7.35,584919650.812681,,2021-11-06T21:54:35.825Z,2020-05-11 19:35:23.449000+00:00,2024-09-20 14:54:21.352000+00:00,Friday
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999505,35587500651,6,7005202719,0.00070383,35582916282.1652,,2019-05-08T00:40:28.300Z,2023-03-11 08:02:13.981000+00:00,2024-09-20 14:54:20.217000+00:00,Friday
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.582048,32884021468,7,1521011685,-0.006396372319786181,99987205428.0,100000000000.0,2018-01-07T00:00:00.000Z,2014-05-22 00:00:00+00:00,2024-09-20 14:54:18.797000+00:00,Friday
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2551.77,24903600499,8,60492315,126.27,9747799.12922363,,2021-11-10T14:40:47.256Z,2020-12-22 04:08:21.854000+00:00,2024-09-20 14:54:18.697000+00:00,Friday
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.105088,15361268251,9,759061523,0.0002047,146035766383.705,,2021-05-08T05:08:23.458Z,2015-05-06 00:00:00+00:00,2024-09-20 14:54:26.405000+00:00,Friday
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.64,14289683375,10,345175883,-0.08383246357106611,5112091677.85064,,2024-06-15T00:36:51.509Z,2021-09-21 00:33:11.092000+00:00,2024-09-20 14:54:19.487000+00:00,Friday
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.151815,13158120683,11,413889364,0.0008239,86672313459.1269,,2018-01-05T00:00:00.000Z,2017-11-12 00:00:00+00:00,2024-09-20 14:54:21.618000+00:00,Friday
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.356038,12700881363,12,348710682,0.00330548,45000000000.0,45000000000.0,2021-09-02T06:00:10.474Z,2020-03-13 02:22:55.044000+00:00,2024-09-20 14:54:23.889000+00:00,Friday
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,27.32,11108178116,13,642013267,1.14,445961659.721777,720000000.0,2021-11-21T14:18:56.538Z,2020-12-31 13:15:21.540000+00:00,2024-09-20 14:54:23.309000+00:00,Friday
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3010.17,10458044918,14,116823401,143.88,3473884.42827264,,2022-05-13T15:09:54.509Z,2022-05-13 01:36:45.053000+00:00,2024-09-20 14:54:20.565000+00:00,Friday
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,63215.0,9669500934,15,156375304,299.2,152942.50169608,152942.50169608,2024-03-14T07:10:23.403Z,2019-04-02 00:00:00+00:00,2024-09-20 14:54:20.396000+00:00,Friday
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.419e-05,8379972154,16,384313352,-5.6113379182e-08,999982344282488.0,,2021-10-28T03:54:55.568Z,2020-11-28 11:26:25.838000+00:00,2024-09-20 14:54:18.997000+00:00,Friday
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2553.94,7494090396,17,800939836,125.16,2934323.68339271,,2021-11-09T00:00:00.000Z,2018-12-15 00:00:00+00:00,2024-09-20 14:54:20.048000+00:00,Friday
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,11.53,7010105553,18,420632727,0.320447,1000000000.0,1000000000.0,2021-05-10T00:13:57.214Z,2017-11-29 00:00:00+00:00,2024-09-20 14:54:24.225000+00:00,Friday
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,335.96,6639763723,19,268564540,-3.4834758283791416,21000000.0,21000000.0,2017-12-20T00:00:00.000Z,2018-12-16 00:00:00+00:00,2024-09-20 14:54:24.600000+00:00,Friday
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.3,6088089370,20,238493715,0.059637,1495575488.90158,,2021-11-04T14:10:09.301Z,2020-08-20 05:48:11.359000+00:00,2024-09-20 14:54:18.043000+00:00,Friday
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,5.78,5344149040,21,985556,0.108569,985239504.0,,2022-02-08T17:40:10.285Z,2019-12-24 15:14:35.376000+00:00,2024-09-20 14:54:25.381000+00:00,Friday
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,5330694864,22,93720769,0.00108802,5329491643.43297,,2020-03-13T03:02:50.373Z,2023-03-11 07:50:50.514000+00:00,2024-09-20 14:54:23.963000+00:00,Friday
