medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country,country_long
Gold Medal,1,2024-07-27,Remco EVENEPOEL,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903136,BEL,Belgium,Belgium
Silver Medal,2,2024-07-27,Filippo GANNA,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1923520,ITA,Italy,Italy
Bronze Medal,3,2024-07-27,Wout van AERT,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903147,BEL,Belgium,Belgium
Gold Medal,1,2024-07-27,Grace BROWN,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1940173,AUS,Australia,Australia
Silver Medal,2,2024-07-27,Anna HENDERSON,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1912525,GBR,Great Britain,Great Britain
Bronze Medal,3,2024-07-27,Chloe DYGERT,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1955079,USA,United States,United States of America
Gold Medal,1,2024-07-27,China,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-CHN01,CHN,China,People's Republic of China
Silver Medal,2,2024-07-27,United States,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-USA01,USA,United States,United States of America
Bronze Medal,3,2024-07-27,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-GBR01,GBR,Great Britain,Great Britain
Gold Medal,1,2024-07-27,OH Sanguk,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1927149,KOR,Korea,Republic of Korea
Silver Medal,2,2024-07-27,Fares FERJANI,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1937783,TUN,Tunisia,Tunisia
Bronze Medal,3,2024-07-27,Luigi SAMELE,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,1924595,ITA,Italy,Italy
Gold Medal,1,2024-07-27,KONG Man Wai Vivian,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1963262,HKG,"Hong Kong, China","Hong Kong, China"
Silver Medal,2,2024-07-27,Auriane MALLO-BRETON,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1916183,FRA,France,France
Bronze Medal,3,2024-07-27,Eszter MUHARI,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--,1946375,HUN,Hungary,Hungary
Gold Medal,1,2024-07-27,Yeldos SMETOV,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1935408,KAZ,Kazakhstan,Kazakhstan
Silver Medal,2,2024-07-27,Luka MKHEIDZE,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1891304,FRA,France,France
Bronze Medal,3,2024-07-27,NAGAYAMA Ryuju,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000100--,1896752,JPN,Japan,Japan
Bronze Medal,3,2024-07-27,Francisco GARRIGOS,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000200--,1563544,ESP,Spain,Spain
Gold Medal,1,2024-07-27,TSUNODA Natsumi,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1896735,JPN,Japan,Japan
Silver Medal,2,2024-07-27,Baasankhuu BAVUUDORJ,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1914467,MGL,Mongolia,Mongolia
Bronze Medal,3,2024-07-27,Shirine BOUKLI,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1891280,FRA,France,France
Bronze Medal,3,2024-07-27,Tara BABULFATH,W,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000200--,1571911,SWE,Sweden,Sweden
Gold Medal,1,2024-07-27,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,RU7MTEAM7---FRA01,FRA,France,France
Silver Medal,2,2024-07-27,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,RU7MTEAM7---FIJ01,FIJ,Fiji,Fiji
Bronze Medal,3,2024-07-27,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,RU7MTEAM7---RSA01,RSA,South Africa,South Africa
Gold Medal,1,2024-07-27,China 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,SHOXARMT----CHN01,CHN,China,People's Republic of China
Silver Medal,2,2024-07-27,Korea 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,SHOXARMT----KOR01,KOR,Korea,Republic of Korea
Bronze Medal,3,2024-07-27,Kazakhstan 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000200--,SHOXARMT----KAZ01,KAZ,Kazakhstan,Kazakhstan
Gold Medal,1,2024-07-27,United States,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRUSA01,USA,United States,United States of America
Silver Medal,2,2024-07-27,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRAUS01,AUS,Australia,Australia
Bronze Medal,3,2024-07-27,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,SWMM4X100MFRITA01,ITA,Italy,Italy
Gold Medal,1,2024-07-27,Lukas MAERTENS,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,1907192,GER,Germany,Germany
Silver Medal,2,2024-07-27,Elijah WINNINGTON,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,1946172,AUS,Australia,Australia
Bronze Medal,3,2024-07-27,KIM Woomin,M,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,4654306,KOR,Korea,Republic of Korea
Gold Medal,1,2024-07-27,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRAUS01,AUS,Australia,Australia
Silver Medal,2,2024-07-27,United States,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRUSA01,USA,United States,United States of America
Bronze Medal,3,2024-07-27,China,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--,SWMW4X100MFRCHN01,CHN,China,People's Republic of China
Gold Medal,1,2024-07-27,Ariarne TITMUS,W,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1946150,AUS,Australia,Australia
